2015,renault,tondar90,80000000,77000,1,0,1,1,-1
2018,mitsubishi,outlander,660000000,0,1,2,1,1,5
2015,toyota,hilux high,500000000,24000,1,0,1,0,4
2005,hyundai,verna,37000000,325800,0,0,4,10,3
2015,mercedes benz,e class,1100000000,69000,1,0,1,6,7
2012,samand,soren,41500000,99000,0,0,12,8,1
2014,toyota,corolla,320000000,127000,1,0,1,0,2
2018,chery,tiggo7,292000000,0,1,0,1,1,4
2011,citroen,NA,200000000,119000,1,0,3,0,1
2005,bmw 5,series sedan,235000000,198000,1,0,4,0,2
2017,hyundai sonata,hybrid gls,410000000,50000,1,2,1,0,11
2018,mitsubishi,lancer 1.8,320000000,3000,1,0,1,2,1
2015,hyundai,NA,265000000,77000,1,0,1,0,1
2017,renault,duster se,220000000,34000,1,0,1,9,2
2015,bmw 5,series sedan,855000000,60000,1,0,1,1,4
2016,toyota,hilux high,650000000,96000,1,0,3,2,4
2008,kia,sorento,215000000,175000,1,0,1,1,2
2017,renault,talisman,452000000,16000,1,0,1,0,10
2016,lifan,x50,80000000,17000,1,0,1,0,1
2009,bmw,x3,285000000,188000,1,0,1,10,1
2017,bmw 5,series sedan,1120000000,21000,1,0,1,6,7
2013,bmw,x3,530000000,86000,1,0,1,7,2
2008,hyundai,tucson,180000000,177000,1,0,1,8,3
2008,mercedes benz,c class,350000000,0,1,0,1,10,2
2016,kia,cerato,285000000,50000,1,0,1,0,1
2016,jac,s5,175000000,45000,1,0,1,27,1
2018,chery,tiggo5,234500000,0,1,0,1,0,5
2014,hyundai,tucson,255000000,200000,1,0,4,13,4
2018,chery,tiggo7,295000000,0,1,0,1,0,5
2017,lexus nx,300h f,840000000,7000,1,2,1,1,6
2008,toyota,prado 2doors,420000000,200000,1,0,3,1,3
2017,hyundai sonata,hybrid gls,425000000,8100,1,2,1,4,13
2011,hyundai,NA,550000000,103000,1,0,5,1,1
2014,mercedes benz,e class,775000000,100000,1,0,1,0,2
2018,mvm,315 hatchback,76000000,16000,0,0,1,0,1
2017,alfa,romeo,450000000,22000,1,0,1,1,6
2014,kia,optima,360000000,26000,1,0,1,0,1
2007,toyota,prado 4doors,340000000,200000,1,0,13,1,1
2014,bmw 5,series sedan,770000000,35000,1,0,1,0,4
2017,porsche,NA,1650000000,9000,1,0,1,1,6
2014,bmw 5,series sedan,700000000,52000,1,0,1,1,4
2010,kia,sportage,230000000,90000,1,0,1,14,2
2016,renault,fluence,238000000,60000,1,0,1,1,1
2016,bmw,x3,920000000,51000,1,0,1,1,5
2016,renault,safrane se,260000000,19000,1,0,1,1,1
2016,lexus,nx hybrid,710000000,22000,1,2,1,20,1
2018,besturn,b30,127000000,0,1,0,1,0,1
2015,hyundai,NA,345000000,59000,1,0,1,0,1
2015,hyundai,NA,146000000,59500,1,0,3,1,1
2015,bmw 5,series sedan,899000000,22000,1,0,1,1,4
2016,renault,duster pe,182000000,53000,1,0,1,1,2
2006,samand,lx,21000000,200000,0,0,13,2,2
2016,mg,NA,158000000,45000,1,0,1,7,1
2017,hyundai sonata,hybrid gls,430000000,5350,1,2,1,1,11
2018,chery,tiggo7,285000000,28000,1,0,1,1,8
2017,besturn,NA,145000000,38000,1,0,1,11,2
2017,mg,NA,290000000,25000,1,0,1,1,1
2017,hyundai,santafe ix45,610000000,23000,1,0,1,1,1
2010,mercedes benz,c class,400000000,87000,1,0,1,1,1
2010,lexus,rx,650000000,125000,1,0,1,0,1
2014,toyota,hilux high,430000000,70000,0,3,1,0,3
2004,peugeot,206 ir,27500000,300000,0,0,4,4,1
2015,hyundai,NA,160000000,32000,1,0,1,0,1
2009,mercedes benz,slk class,350000000,110000,1,0,4,4,6
2015,bmw,x4,895000000,50000,1,0,1,0,7
2017,lexus,rx,620000000,21000,1,0,8,12,7
2604,toyota landcruiser,pickup 2door,41000000,0,0,0,1,0,10
2011,lexus,rx,630000000,147000,1,0,3,1,1
2006,nissan,maxima ir,160000000,160000,1,0,3,1,3
2018,rigan,coupa,300000000,0,1,0,1,1,2
2017,toyota,NA,580000000,70000,1,0,1,0,4
2013,toyota,prado 2doors,685000000,57000,1,0,1,1,1
2010,pazhan,NA,114000000,76000,0,0,1,7,1
2009,nissan,murano,253000000,132000,1,0,5,2,1
2010,hyundai,NA,310000000,80000,1,0,1,1,1
2011,bmw 5,series sedan,640000000,50000,1,0,1,1,1
2016,toyota,prius,305000000,30000,1,0,1,1,1
2017,kia,sorento,645000000,25000,1,0,1,0,4
2014,toyota,hilux high,465000000,68000,1,0,1,0,6
2012,hyundai,NA,352000000,210000,1,0,1,1,2
2010,mercedes benz,c class,435000000,0,1,0,3,1,1
2017,renault,sandero,101000000,14820,1,0,1,0,1
2016,dena,NA,73000000,61000,0,0,6,9,7
2010,nissan,maxima ir,188000000,102000,1,0,3,0,3
2017,kia,optima,495000000,27500,1,0,1,0,4
2011,toyota landcruiser,4door v6,1080000000,82000,1,0,1,0,1
2017,mazda 3,sedan 2.0l,245000000,40000,1,0,1,0,1
2014,hyundai,NA,342000000,0,1,0,1,0,4
2009,nissan,maxima ir,167000000,0,1,0,5,1,2
2011,hyundai,veracruz,383000000,153000,1,0,3,0,1
2008,hyundai,NA,225000000,78000,1,0,3,10,2
2018,ds,NA,600000000,0,1,0,1,6,2
2005,bmw 5,series sedan,215000000,195000,1,0,1,4,2
2012,toyota landcruiser,4door v6,1170000000,200000,1,0,1,1,1
2010,renault,tondar90,50000000,78000,0,0,1,2,-1
2016,kia,sorento,550000000,75000,1,0,1,0,1
2006,mazda,323,70000000,0,1,0,4,1,3
2005,toyota,prado 4doors,340000000,77000,1,0,14,1,1
2014,mg,6,163000000,95000,1,0,1,7,2
2017,renault,talisman,435000000,29000,1,0,1,0,1
2017,toyota,NA,630000000,2000,1,0,1,0,4
2017,mvm,x33s at,135000000,76000,1,0,1,0,1
2014,kia,sportage,315000000,80000,1,0,1,0,1
2018,hyundai sonata,hybrid gls,540000000,0,1,2,1,1,5
2014,kia,NA,126000000,53000,1,0,6,0,1
2015,renault,safrane 2.5l,276000000,0,1,0,1,4,3
2011,renault,megan ir,139000000,80000,1,0,3,0,3
2008,toyota,prado 4doors,400000000,150000,1,0,4,0,2
2016,bmw,x3,850000000,46000,1,0,1,1,5
2018,jac,s3,153000000,0,1,0,1,5,1
2014,bmw 5,series sedan,810000000,47000,1,0,1,0,4
2011,peugeot,206 ir,44000000,145000,0,0,1,0,1
2014,cadillac,NA,500000000,50000,1,0,1,1,4
2016,renault,symbol,117000000,40000,1,0,1,4,14
2015,ssang yong,new korando,235000000,65000,1,0,1,0,1
2016,peugeot,206 ir,60800000,57000,0,0,1,0,1
2012,mercedes benz,class coupe,800000000,60000,1,0,1,0,5
2015,renault,fluence,159000000,64000,0,0,3,1,2
2017,hyundai,santafe ix45,600000000,20000,1,0,1,1,1
2013,bmw 5,series sedan,545000000,72000,1,0,4,0,2
2009,lexus,rx,530000000,160000,1,0,9,0,2
2011,toyota landcruiser,4door v6,1175000000,69000,1,0,1,1,1
2015,hyundai,NA,170000000,35000,1,0,1,0,1
2018,renault,talisman,520000000,2728,1,0,1,10,1
2014,kia,optima,350000000,95000,1,0,1,0,2
2011,hyundai,NA,370000000,145000,1,0,1,1,1
2015,bmw 5,series sedan,895000000,39000,1,0,1,1,4
