chery,tiggo5 at,2016,excellent,160000000,melli,48000,1,0,1,6,1
porsche,911 carrera,2012,s,1750000000,melli,69000,1,0,1,0,6
hyundai,santafe ix45,2011,3500cc,335000000,melli,102000,1,0,1,0,2
renault,megan ir,2011,2000,136000000,melli,145000,1,0,1,5,1
peugeot,206 ir,2017,type2,63500000,melli,48000,0,0,3,0,1
jac,s5,2018,at,203000000,melli,0,1,0,1,0,1
haima,s7 1.8l,2018,turbo,190000000,melli,11000,1,0,1,1,1
mercedes benz,c class,2011,c350,520000000,melli,76000,1,0,1,1,2
chery,tiggo5,2018,ie,220000000,melli,0,1,0,1,1,-1
chery,tiggo7,2018,excellent,265000000,melli,20000,1,0,1,0,4
bmw 5,series sedan,2015,520i,750000000,melli,20000,1,0,1,0,-1
lexus,rx,2008,350,365000000,melli,158000,1,0,3,2,2
ssang yong,new korando,2015,premium,240000000,melli,111000,1,0,1,1,1
kia,optima,2013,basic,315000000,melli,100000,1,0,1,1,1
renault,tondar90,2015,at,80000000,melli,77000,1,0,1,1,-1
toyota,hilux high,2015,at,500000000,melli,24000,1,0,1,0,4
hyundai,verna,2005,mt,37000000,melli,325800,0,0,4,10,3
mercedes benz,e class,2015,e250,1100000000,melli,69000,1,0,1,6,7
toyota,corolla,2014,gli,320000000,melli,127000,1,0,1,0,2
chery,tiggo7,2018,excellent,292000000,melli,0,1,0,1,1,4
bmw 5,series sedan,2005,525i,235000000,melli,198000,1,0,4,0,2
mitsubishi,lancer 1.8,2018,at,320000000,melli,3000,1,0,1,2,1
renault,duster se,2017,fwd,220000000,melli,34000,1,0,1,9,2
bmw 5,series sedan,2015,528i,855000000,melli,60000,1,0,1,1,4
toyota,hilux high,2016,at,640000000,melli,96000,1,0,3,2,4
kia,sorento,2008,basic,215000000,melli,175000,1,0,1,1,2
renault,talisman,2017,e3,452000000,melli,16000,1,0,1,0,10
lifan,x50,2016,at,80000000,melli,17000,1,0,1,0,1
bmw,x3,2009,25,285000000,melli,188000,1,0,1,10,1
bmw,x3,2013,28,530000000,melli,86000,1,0,1,7,2
hyundai,tucson,2008,ix35,180000000,melli,177000,1,0,1,8,3
mvm x22,mt sport,2018,excellent,120000000,melli,3200,0,0,1,8,1
mercedes benz,c class,2008,c200,370000000,melli,0,1,0,1,10,2
kia,cerato,2016,2000,285000000,melli,50000,1,0,1,0,1
jac,s5,2016,at,175000000,melli,45000,1,0,1,27,1
chery,tiggo5,2018,ie,234500000,melli,0,1,0,1,0,5
chery,tiggo7,2018,excellent,295000000,melli,0,1,0,1,0,5
lexus nx,300h f,2017,sport,840000000,melli,7000,1,2,1,1,6
toyota,prado 2doors,2008,4cylinder,420000000,melli,200000,1,0,3,1,3
pick,up,2018,rich,145000000,melli,16000,0,0,1,0,1
mercedes benz,e class,2014,e200,775000000,melli,100000,1,0,1,0,2
mvm,315 hatchback,2018,sport,76000000,melli,16000,0,0,1,0,1
alfa,romeo,2017,giulietta,450000000,melli,22000,1,0,1,1,6
kia,optima,2014,basic,360000000,melli,26000,1,0,1,0,1
toyota,prado 4doors,2007,4cylinder,345000000,melli,200000,1,0,13,1,1
bmw 5,series sedan,2014,528i,770000000,melli,35000,1,0,1,0,4
bmw 5,series sedan,2014,528i,700000000,melli,52000,1,0,1,1,4
kia,sportage,2010,basic,230000000,melli,90000,1,0,1,14,2
toyota landcruiser,4door v6,2012,4000cc,1400000000,melli,50000,1,0,1,0,2
renault,fluence,2016,e4,238000000,melli,60000,1,0,1,1,1
bmw,x3,2016,28,920000000,melli,51000,1,0,1,1,5
renault,safrane se,2016,2.0,260000000,melli,19000,1,0,1,1,1
lexus,nx hybrid,2016,300h,710000000,melli,22000,1,2,1,20,1
besturn,b30,2018,at,127000000,melli,0,1,0,1,0,1
bmw 5,series sedan,2015,528i,899000000,melli,22000,1,0,1,1,4
renault,duster pe,2016,fwd,182000000,melli,53000,1,0,1,1,2
samand,lx,2006,basic,21000000,melli,200000,0,0,13,2,2
hyundai sonata,hybrid gls,2017,plus,430000000,melli,5350,1,2,1,1,11
chery,tiggo7,2018,excellent,285000000,melli,30000,1,0,1,1,8
hyundai,santafe ix45,2017,2400cc,610000000,melli,23000,1,0,1,1,1
mercedes benz,c class,2010,c200,400000000,melli,87000,1,0,1,1,1
lexus,rx,2010,350,620000000,melli,135000,1,0,1,0,1
toyota,hilux high,2014,mt,430000000,melli,70000,0,3,1,0,3
peugeot,206 ir,2004,type2,27500000,melli,300000,0,0,4,4,1
bmw,x4,2015,28,980000000,melli,50000,1,0,1,0,7
lexus,rx,2017,350,620000000,gozar movaqaat,21000,1,0,8,12,7
toyota landcruiser,pickup 2door,1983,2f,41000000,melli,0,0,0,1,0,10
lexus,rx,2011,350,630000000,melli,147000,1,0,3,1,1
nissan,maxima ir,2006,at,160000000,melli,160000,1,0,3,1,3
rigan,coupa,2018,royal,300000000,melli,0,1,0,1,1,2
toyota,prado 2doors,2013,4cylinder,700000000,melli,57000,1,0,1,1,1
nissan,murano,2009,le,248000000,melli,132000,1,0,5,2,1
bmw 5,series sedan,2011,523i,640000000,melli,50000,1,0,1,1,1
toyota,prius,2016,c,305000000,melli,30000,1,0,1,1,1
toyota,hilux high,2014,at,455000000,melli,68000,1,0,1,0,6
mercedes benz,c class,2010,c200,435000000,melli,0,1,0,3,1,1
nissan,maxima ir,2010,at,188000000,melli,102000,1,0,3,0,3
toyota landcruiser,4door v6,2011,4000cc,1080000000,melli,82000,1,0,1,0,1
nissan,maxima ir,2009,at,167000000,melli,0,1,0,5,1,2
hyundai,veracruz,2011,ix55,383000000,melli,153000,1,0,3,0,1
bmw 5,series sedan,2005,520i,215000000,melli,195000,1,0,1,4,2
toyota landcruiser,4door v6,2012,4000cc,1170000000,melli,200000,1,0,1,1,1
renault,tondar90,2010,e2,50000000,melli,78000,0,0,1,2,-1
kia,sorento,2016,basic,550000000,melli,75000,1,0,1,0,1
mazda,323,2006,at,70000000,melli,0,1,0,4,1,3
toyota,prado 4doors,2005,6cylinder,340000000,melli,77000,1,0,14,1,1
mg,6,2014,gt,163000000,melli,95000,1,0,1,7,2
mvm,x33s at,2017,sport,135000000,melli,76000,1,0,1,0,1
hyundai,accent,2018,ir,215000000,melli,0,1,0,1,1,-1
renault,megan ir,2011,2000,139000000,melli,80000,1,0,3,0,3
bmw,x3,2016,28,850000000,melli,46000,1,0,1,1,5
jac,s3,2018,at,153000000,melli,0,1,0,1,5,1
bmw 5,series sedan,2014,528i,810000000,melli,47000,1,0,1,0,4
peugeot,206 ir,2011,type2,44000000,melli,145000,0,0,1,0,1
ssang yong,new korando,2015,premium,235000000,melli,65000,1,0,1,0,1
mercedes benz,class coupe,2012,e350,800000000,melli,60000,1,0,1,0,5
renault,fluence,2015,mt,159000000,melli,64000,0,0,3,1,2
hyundai,santafe ix45,2017,2400cc,600000000,melli,20000,1,0,1,1,1
bmw 5,series sedan,2013,520i,545000000,melli,72000,1,0,4,0,2
lexus,rx,2009,350,530000000,melli,160000,1,0,9,0,2
renault,talisman,2018,e3,520000000,melli,2728,1,0,1,10,1
kia,optima,2014,basic,350000000,melli,95000,1,0,1,0,2
bmw 5,series sedan,2015,528i,895000000,melli,39000,1,0,1,1,4
hyundai,tucson,2017,ix35,495000000,melli,0,1,0,1,2,1
peugeot,207,2010,at,72000000,melli,0,1,0,1,0,3
chery,tiggo7,2018,excellent,274000000,melli,0,1,0,1,0,5
renault,tondar90,2011,e2,48000000,melli,118000,0,0,14,0,3
kia,optima,2014,basic,337000000,melli,86000,1,0,6,0,1
mazda,3 ir,2007,type3,99000000,melli,0,1,0,6,1,-1
toyota landcruiser,4door v6,2009,4000cc,870000000,melli,0,1,0,13,0,-1
toyota landcruiser,4door v6,2011,4000cc,1220000000,melli,50000,1,0,1,0,1
renault,symbol,2017,pe,150000000,melli,19000,1,0,1,0,2
bmw 5,series sedan,2014,528i,678000000,melli,99000,1,0,1,0,4
mazda,3 ir,2008,type3,117000000,melli,150306,1,0,5,2,1
mitsubishi,asx,2018,type4,450000000,melli,6000,1,0,1,0,1
toyota,prado 4doors,2008,6cylinder,625000000,melli,240000,1,0,1,0,2
alfa,romeo,2016,giulietta,500000000,melli,38000,1,0,1,4,6
mvm,x33s at,2018,sport,165000000,melli,0,1,0,1,0,1
kia,cerato,2011,koup,195000000,melli,0,1,0,3,1,1
toyota,prado 2doors,2013,4cylinder,695000000,melli,79000,1,0,1,0,1
hyundai,tucson,2007,ix35,170000000,melli,320000,1,0,1,1,1
mercedes benz,e class,2009,e200,355000000,melli,150000,1,0,1,0,8
mazda 3,sedan 2.0l,2018,type4,275000000,melli,0,1,0,1,0,1
kia,optima,2013,basic,310000000,melli,93000,1,0,1,0,1
honda,accord,2013,ex,300000000,melli,114000,1,0,3,1,2
nissan,maxima ir,2011,at,233000000,melli,78000,1,0,1,0,-1
bmw,x3,2016,28,960000000,melli,28000,1,0,1,19,5
